restaurant_id,category
296,Cheap Eats
296,French
296,Street Food
297,Cheap Eats
297,Asian
297,Thai
297,Vietnamese
297,Cambodian
297,Lunch
297,Dinner
298,Mid-range
298,French
298,European
298,Contemporary
298,Dinner
298,Lunch
298,Drinks
299,French
299,Fast food
299,Street Food
300,Mid-range
300,French
300,Lunch
300,Dinner
300,Drinks
301,French
301,Moroccan
301,Mediterranean
301,Breakfast
301,Lunch
301,Dinner
301,Reservations
302,Mid-range
302,Italian
302,Pizza
302,Lunch
302,Dinner
302,Takeout
302,Reservations
302,Seating
302,Serves Alcohol
302,Table Service
303,Mid-range
303,Indian
303,Vegetarian Friendly
303,Lunch
303,Dinner
304,Mid-range
304,Lunch
304,Dinner
304,Takeout
304,Reservations
304,Seating
304,Wheelchair Accessible
305,Mid-range
305,Japanese
305,Asian
305,Lunch
305,Dinner
305,Delivery
305,Takeout
305,Reservations
305,Seating
305,Serves Alcohol
306,French
306,Breakfast
306,Lunch
306,Dinner
307,Cheap Eats
307,Chinese
307,Asian
307,Lunch
307,Dinner
307,Seating
307,Wheelchair Accessible
307,Takeout
307,Reservations
307,Serves Alcohol
308,Mid-range
308,French
308,Lunch
308,Dinner
308,Reservations
308,Outdoor Seating
308,Seating
308,Serves Alcohol
308,Table Service
309,Mid-range
309,French
309,Steakhouse
309,Lunch
309,Dinner
309,Reservations
309,Outdoor Seating
309,Seating
309,Parking Available
309,Validated Parking
310,Cheap Eats
310,Japanese
310,Sushi
310,Asian
310,Lunch
310,Dinner
310,Takeout
310,Delivery
311,Fine Dining
311,French
311,European
311,Healthy
311,Lunch
311,Dinner
312,Mid-range
312,Moroccan
312,Mediterranean
312,Middle Eastern
312,Lunch
312,Dinner
312,Takeout
312,Reservations
312,Seating
312,Wheelchair Accessible
313,Mid-range
313,French
313,Vegetarian Friendly
313,Lunch
313,Dinner
313,Drinks
314,Mid-range
314,Italian
314,Lunch
314,Dinner
314,Takeout
314,Reservations
314,Seating
314,Serves Alcohol
314,Table Service
315,Mid-range
315,Italian
315,Lunch
315,Dinner
315,After-hours
315,Takeout
315,Reservations
315,Seating
315,Serves Alcohol
315,Table Service
316,Mid-range
316,Italian
316,European
316,Vegetarian Friendly
316,Dinner
316,Lunch
317,Mid-range
317,French
317,Lunch
317,Dinner
318,Mid-range
318,Italian
318,Vegetarian Friendly
318,Lunch
318,Dinner
319,Lunch
319,Dinner
320,Cheap Eats
320,Chinese
320,Japanese
320,Sushi
320,Asian
320,Fusion
320,Dinner
320,Seating
320,Parking Available
320,Wheelchair Accessible
321,Cheap Eats
321,Japanese
321,Sushi
321,Asian
321,Dinner
321,Lunch
321,Takeout
321,Seating
321,Reservations
321,Wheelchair Accessible
322,Mid-range
322,French
322,Bar
322,Pub
322,Dinner
322,After-hours
322,Drinks
323,Cheap Eats
323,Fast food
323,Lunch
323,Dinner
323,Takeout
323,Seating
323,Wheelchair Accessible
324,Mid-range
324,European
324,Portuguese
324,Lunch
324,Dinner
324,Reservations
325,Breakfast
325,Lunch
325,Dinner
325,Brunch
325,After-hours
325,Wheelchair Accessible
325,Reservations
325,Table Service
326,Mid-range
326,French
326,Bar
326,European
326,Pub
326,Lunch
326,Dinner
326,Breakfast
326,After-hours
326,Drinks
327,Cheap Eats
327,Italian
327,Pizza
327,Lunch
327,Dinner
328,Mid-range
328,Pizza
328,Takeout
328,Delivery
328,Wheelchair Accessible
329,Mid-range
329,Italian
329,Dinner
329,Lunch
329,Takeout
329,Reservations
329,Seating
329,Serves Alcohol
329,Table Service
330,Mid-range
330,Caribbean
330,Breakfast
330,Lunch
330,Dinner
330,Brunch
330,Drinks
331,Mid-range
331,Japanese
331,Asian
331,Korean
331,Dinner
331,Lunch
331,Buffet
331,Parking Available
331,Street Parking
331,Serves Alcohol
332,Cheap Eats
332,Fast food
332,Turkish
333,Mid-range
333,French
333,Lunch
333,Dinner
333,Takeout
333,Reservations
333,Seating
333,Wheelchair Accessible
333,Serves Alcohol
333,Table Service
334,Mid-range
334,Italian
334,Mediterranean
334,European
335,Mid-range
335,Japanese
336,Mid-range
336,French
336,Lunch
336,Dinner
336,Reservations
336,Seating
336,Wheelchair Accessible
336,Serves Alcohol
336,Accepts Credit Cards
336,Table Service
337,Mid-range
337,Moroccan
337,Mediterranean
337,Middle Eastern
337,Lunch
337,Dinner
338,Japanese
338,Thai
339,Mid-range
339,Japanese
339,Sushi
339,Asian
339,Takeout
339,Delivery
340,Pizza
341,Cheap Eats
341,European
341,Portuguese
341,Dinner
341,Lunch
341,Reservations
341,Seating
341,Table Service
342,Mid-range
342,Italian
342,Lunch
342,Dinner
342,Takeout
342,Reservations
342,Seating
342,Wheelchair Accessible
342,Serves Alcohol
342,Accepts Credit Cards
343,Cheap Eats
343,French
343,Fast food
343,Vegetarian Friendly
344,Mid-range
344,Italian
344,Pizza
344,Dinner
344,Lunch
344,Takeout
344,Delivery
344,Wheelchair Accessible
345,Fast food
347,Mid-range
347,French
348,Mid-range
348,French
349,Mid-range
349,Italian
349,Pizza
349,Fast food
349,Lunch
349,Dinner
350,Mid-range
350,French
350,Vietnamese
350,Lunch
350,Dinner
350,After-hours
350,Drinks
351,Cheap Eats
352,Mid-range
352,Pizza
352,Dinner
353,Cheap Eats
353,Lunch
353,Dinner
354,Mid-range
354,French
354,Cajun & Creole
354,Lunch
354,Dinner
355,Reservations
356,Mid-range
356,Fast food
356,Lunch
356,Dinner
357,Mid-range
357,Italian
357,Lunch
357,Dinner
359,Mid-range
359,Indian
359,Middle Eastern
359,Pakistani
359,Lunch
359,Dinner
359,After-hours
360,Mid-range
360,Italian
360,Pizza
360,Vegetarian Friendly
361,Cheap Eats
361,Chinese
361,Asian
361,Thai
361,Vietnamese
361,Lunch
361,Dinner
362,Mid-range
362,French
362,American
362,Pub
362,Lunch
362,Dinner
362,After-hours
363,Mid-range
363,French
363,Steakhouse
363,Grill
363,Healthy
364,Dinner
365,Cheap Eats
365,Cafe
366,Mid-range
366,French
366,American
366,British
366,Lunch
366,Dinner
366,Reservations
366,Seating
366,Parking Available
366,Highchairs Available
367,Cheap Eats
367,Quick Bites
367,French
367,Lunch
367,Dinner
368,Mid-range
368,Japanese
368,Vegetarian Friendly
368,Dinner
369,Mid-range
369,French
369,Lunch
369,Dinner
369,Reservations
369,Seating
369,Wheelchair Accessible
369,Serves Alcohol
369,Table Service
370,Cheap Eats
370,Italian
370,Pizza
370,Dinner
370,Takeout
370,Wheelchair Accessible
371,Cheap Eats
371,Chinese
371,Japanese
371,Asian
371,Lunch
371,Dinner
372,Mid-range
372,Italian
372,Pizza
372,Lunch
372,Dinner
372,Takeout
372,Reservations
372,Seating
372,Wheelchair Accessible
372,Serves Alcohol
373,Cheap Eats
373,Cafe
373,International
373,European
373,Swedish
373,Scandinavian
373,Lunch
373,Drinks
374,Cheap Eats
374,Quick Bites
374,American
374,Fast food
374,Dinner
374,Takeout
374,Seating
374,Delivery
374,Wheelchair Accessible
375,Cheap Eats
375,Turkish
376,Mid-range
376,Indian
376,Grill
376,Pakistani
377,Mid-range
377,French
377,Lunch
377,Reservations
377,Seating
377,Table Service
377,Wheelchair Accessible
377,Serves Alcohol
378,Mid-range
378,Italian
378,Pizza
378,Vegetarian Friendly
379,Mid-range
379,Italian
379,Pizza
379,Mediterranean
379,Sicilian
379,Southern-Italian
380,Mid-range
380,Chinese
380,Japanese
380,Sushi
380,Asian
380,Lunch
380,Dinner
380,Delivery
380,Takeout
380,Seating
381,Mid-range
381,French
381,Lunch
381,Reservations
381,Seating
381,Wheelchair Accessible
381,Serves Alcohol
381,Table Service
382,Pizza
383,Mid-range
383,Asian
383,Vietnamese
383,Vegetarian Friendly
383,Lunch
383,Dinner
384,Mid-range
384,French
384,Gastropub
384,Vegetarian Friendly
385,European
385,Portuguese
385,Reservations
386,Mid-range
386,Italian
386,Vegetarian Friendly
386,Lunch
386,Dinner
387,Mid-range
387,Asian
387,Vietnamese
387,Dinner
387,Lunch
387,Takeout
387,Reservations
387,Seating
387,Serves Alcohol
387,Table Service
388,Cheap Eats
388,Fast food
388,Turkish
388,Middle Eastern
388,Lunch
388,Dinner
388,Takeout
389,Mid-range
389,French
389,Seafood
389,European
389,Healthy
389,Lunch
389,Dinner
389,After-hours
389,Reservations
389,Seating
390,Mid-range
390,French
390,Lunch
390,Dinner
390,Reservations
390,Seating
390,Serves Alcohol
390,Table Service
391,Mid-range
391,Spanish
391,Lunch
391,Dinner
391,Reservations
391,Seating
391,Serves Alcohol
391,Table Service
392,Mid-range
392,Japanese
392,Sushi
392,Asian
392,Lunch
392,Dinner
393,Cheap Eats
393,French
393,Lunch
393,Dinner
